iter	Passed	Remaining
0	0	685
1	1	592
2	1	600
3	2	618
4	2	593
5	3	570
6	3	559
7	4	551
8	4	544
9	5	540
10	5	536
11	6	530
12	6	529
13	7	526
14	7	523
15	8	516
16	8	513
17	9	513
18	9	512
19	10	512
20	10	510
21	11	508
22	11	505
23	12	503
24	12	502
25	13	498
26	13	496
27	14	494
28	14	494
29	15	492
30	15	491
31	16	489
32	16	496
33	17	498
34	18	498
35	18	500
36	19	498
37	19	497
38	20	496
39	20	495
40	21	494
41	21	492
42	22	491
43	22	492
44	23	489
45	23	487
46	23	486
47	24	484
48	24	483
49	25	482
50	25	481
51	26	479
52	26	478
53	27	478
54	27	477
55	28	476
56	28	475
57	29	474
58	29	472
59	30	471
60	30	470
61	31	470
62	31	469
63	32	472
64	33	475
65	33	477
66	34	478
67	34	479
68	35	481
69	36	480
70	36	480
71	37	479
72	37	478
73	38	477
74	38	476
75	39	476
76	39	476
77	40	475
78	40	475
79	41	474
80	41	473
81	42	473
82	42	469
83	43	469
84	43	469
85	44	468
86	44	467
87	45	466
88	45	466
89	46	465
90	46	465
91	47	465
92	47	465
93	48	465
94	48	464
95	49	464
96	49	463
97	50	463
98	50	461
99	51	460
100	51	460
101	52	459
102	52	460
103	53	460
104	53	459
105	54	458
106	54	458
107	55	458
108	56	458
109	56	457
110	57	456
111	57	455
112	57	455
113	58	454
114	58	453
115	59	453
116	59	452
117	60	451
118	60	450
119	61	450
120	62	450
121	62	449
122	63	451
123	63	450
124	64	450
125	65	451
126	65	450
127	66	450
128	66	450
129	67	449
130	67	448
131	68	448
132	68	447
133	69	447
134	69	446
135	70	446
136	70	445
137	71	445
138	71	444
139	72	444
140	72	443
141	73	442
142	73	442
143	74	442
144	75	442
145	75	441
146	75	440
147	76	440
148	77	442
149	78	442
150	78	442
151	79	442
152	79	441
153	80	440
154	80	440
155	81	439
156	81	438
157	82	438
158	82	438
159	83	437
160	83	436
161	84	435
162	84	434
163	85	434
164	85	433
165	86	432
166	86	431
167	87	431
168	87	430
169	88	429
170	88	429
171	89	428
172	89	427
173	89	427
174	90	426
175	90	425
176	91	424
177	91	423
178	92	424
179	93	424
180	93	424
181	94	424
182	94	423
183	95	422
184	95	422
185	96	421
186	96	420
187	97	420
188	97	419
189	98	419
190	98	418
191	99	418
192	99	417
193	100	417
194	101	417
195	101	416
196	102	416
197	102	415
198	103	414
199	103	414
200	104	413
201	104	412
202	104	412
203	105	411
204	105	410
205	106	409
206	107	410
207	108	413
208	109	414
209	110	414
210	110	413
211	111	413
212	111	413
213	112	412
214	112	412
215	113	412
216	114	413
217	115	413
218	116	413
219	116	413
220	117	414
221	118	414
222	118	414
223	119	415
224	120	415
225	121	415
226	124	425
227	126	426
228	127	429
229	128	430
230	129	431
231	130	432
232	131	432
233	132	433
234	133	434
235	134	436
236	136	438
237	138	441
238	139	444
239	140	445
240	141	445
241	142	445
242	143	445
243	143	446
244	144	446
245	145	446
246	146	447
247	147	447
248	148	447
249	149	447
250	150	448
251	153	456
252	155	458
253	156	458
254	157	458
255	157	458
256	158	458
257	159	458
258	160	459
259	162	461
260	163	462
261	164	462
262	164	461
263	165	461
264	167	463
265	168	464
266	169	464
267	170	465
268	171	465
269	171	464
270	172	464
271	173	463
272	174	463
273	174	463
274	175	462
275	175	461
276	176	461
277	178	462
278	178	462
279	179	461
280	180	460
281	180	459
282	181	460
283	182	459
284	183	459
285	183	459
286	184	458
287	185	457
288	185	456
